001  00119 |Loss: 2.272 | Acc: 13.130% 
001  00120 |Loss: 2.271 | Acc: 13.158% 
001  00121 |Loss: 2.270 | Acc: 13.191% 
001  00122 |Loss: 2.268 | Acc: 13.256% 
001  00123 |Loss: 2.267 | Acc: 13.281% 
001  00124 |Loss: 2.266 | Acc: 13.395% 
001  00125 |Loss: 2.265 | Acc: 13.469% 
001  00126 |Loss: 2.264 | Acc: 13.535% 
001  00127 |Loss: 2.263 | Acc: 13.552% 
001  00128 |Loss: 2.261 | Acc: 13.629% 
001  00129 |Loss: 2.260 | Acc: 13.699% 
001  00130 |Loss: 2.258 | Acc: 13.816% 
001  00131 |Loss: 2.257 | Acc: 13.836% 
001  00132 |Loss: 2.255 | Acc: 13.867% 
001  00133 |Loss: 2.254 | Acc: 13.922% 
001  00134 |Loss: 2.253 | Acc: 13.975% 
001  00135 |Loss: 2.251 | Acc: 14.005% 
001  00136 |Loss: 2.250 | Acc: 14.017% 
001  00137 |Loss: 2.248 | Acc: 14.045% 
001  00138 |Loss: 2.246 | Acc: 14.125% 
001  00139 |Loss: 2.244 | Acc: 14.203% 
001  00140 |Loss: 2.243 | Acc: 14.235% 
001  00141 |Loss: 2.241 | Acc: 14.284% 
001  00142 |Loss: 2.239 | Acc: 14.365% 
001  00143 |Loss: 2.238 | Acc: 14.429% 
001  00144 |Loss: 2.237 | Acc: 14.459% 
001  00145 |Loss: 2.236 | Acc: 14.472% 
001  00146 |Loss: 2.234 | Acc: 14.523% 
001  00147 |Loss: 2.233 | Acc: 14.583% 
001  00148 |Loss: 2.231 | Acc: 14.659% 
001  00149 |Loss: 2.230 | Acc: 14.734% 
001  00150 |Loss: 2.229 | Acc: 14.776% 
001  00151 |Loss: 2.228 | Acc: 14.808% 
001  00152 |Loss: 2.227 | Acc: 14.839% 
001  00153 |Loss: 2.225 | Acc: 14.961% 
001  00154 |Loss: 2.224 | Acc: 15.037% 
001  00155 |Loss: 2.223 | Acc: 15.101% 
001  00156 |Loss: 2.221 | Acc: 15.154% 
001  00157 |Loss: 2.219 | Acc: 15.160% 
002  00158 |Loss: 1.967 | Acc: 22.656% 
002  00159 |Loss: 1.919 | Acc: 23.438% 
002  00160 |Loss: 1.927 | Acc: 25.000% 
002  00161 |Loss: 1.943 | Acc: 23.828% 
002  00162 |Loss: 1.953 | Acc: 24.062% 
002  00163 |Loss: 1.975 | Acc: 24.349% 
002  00164 |Loss: 1.989 | Acc: 24.219% 
002  00165 |Loss: 1.980 | Acc: 25.293% 
002  00166 |Loss: 1.980 | Acc: 25.347% 
002  00167 |Loss: 1.977 | Acc: 25.391% 
002  00168 |Loss: 1.973 | Acc: 25.568% 
002  00169 |Loss: 1.975 | Acc: 25.586% 
002  00170 |Loss: 1.981 | Acc: 25.300% 
002  00171 |Loss: 1.974 | Acc: 25.391% 
002  00172 |Loss: 1.973 | Acc: 25.208% 
002  00173 |Loss: 1.970 | Acc: 25.488% 
002  00174 |Loss: 1.973 | Acc: 25.460% 
002  00175 |Loss: 1.971 | Acc: 25.174% 
002  00176 |Loss: 1.971 | Acc: 25.041% 
002  00177 |Loss: 1.971 | Acc: 25.000% 
002  00178 |Loss: 1.966 | Acc: 25.074% 
002  00179 |Loss: 1.956 | Acc: 25.746% 
002  00180 |Loss: 1.963 | Acc: 25.577% 
002  00181 |Loss: 1.963 | Acc: 25.488% 
002  00182 |Loss: 1.962 | Acc: 25.438% 
002  00183 |Loss: 1.960 | Acc: 25.781% 
002  00184 |Loss: 1.957 | Acc: 25.926% 
002  00185 |Loss: 1.956 | Acc: 25.893% 
002  00186 |Loss: 1.956 | Acc: 25.889% 
002  00187 |Loss: 1.955 | Acc: 25.755% 
002  00188 |Loss: 1.958 | Acc: 25.731% 
002  00189 |Loss: 1.955 | Acc: 25.806% 
002  00190 |Loss: 1.955 | Acc: 25.829% 
002  00191 |Loss: 1.952 | Acc: 25.850% 
002  00192 |Loss: 1.951 | Acc: 25.826% 
002  00193 |Loss: 1.951 | Acc: 25.868% 
002  00194 |Loss: 1.952 | Acc: 25.866% 
002  00195 |Loss: 1.950 | Acc: 25.802% 
002  00196 |Loss: 1.948 | Acc: 25.901% 
002  00197 |Loss: 1.947 | Acc: 25.957% 
002  00198 |Loss: 1.943 | Acc: 26.162% 
002  00199 |Loss: 1.944 | Acc: 26.060% 
002  00200 |Loss: 1.945 | Acc: 26.036% 
002  00201 |Loss: 1.944 | Acc: 26.154% 
002  00202 |Loss: 1.941 | Acc: 26.285% 
002  00203 |Loss: 1.943 | Acc: 26.308% 
002  00204 |Loss: 1.943 | Acc: 26.263% 
002  00205 |Loss: 1.942 | Acc: 26.204% 
002  00206 |Loss: 1.941 | Acc: 26.323% 
002  00207 |Loss: 1.942 | Acc: 26.359% 
002  00208 |Loss: 1.943 | Acc: 26.379% 
002  00209 |Loss: 1.941 | Acc: 26.382% 
002  00210 |Loss: 1.939 | Acc: 26.445% 
002  00211 |Loss: 1.940 | Acc: 26.461% 
002  00212 |Loss: 1.939 | Acc: 26.534% 
002  00213 |Loss: 1.937 | Acc: 26.632% 
002  00214 |Loss: 1.935 | Acc: 26.782% 
002  00215 |Loss: 1.936 | Acc: 26.670% 
002  00216 |Loss: 1.935 | Acc: 26.615% 
002  00217 |Loss: 1.935 | Acc: 26.654% 
002  00218 |Loss: 1.932 | Acc: 26.703% 
002  00219 |Loss: 1.932 | Acc: 26.714% 
002  00220 |Loss: 1.931 | Acc: 26.823% 
002  00221 |Loss: 1.931 | Acc: 26.843% 
002  00222 |Loss: 1.930 | Acc: 26.959% 
002  00223 |Loss: 1.929 | Acc: 26.989% 
002  00224 |Loss: 1.927 | Acc: 27.064% 
002  00225 |Loss: 1.928 | Acc: 27.045% 
002  00226 |Loss: 1.927 | Acc: 27.049% 
002  00227 |Loss: 1.925 | Acc: 27.132% 
002  00228 |Loss: 1.923 | Acc: 27.201% 
002  00229 |Loss: 1.923 | Acc: 27.138% 
002  00230 |Loss: 1.922 | Acc: 27.119% 
002  00231 |Loss: 1.921 | Acc: 27.101% 
002  00232 |Loss: 1.920 | Acc: 27.115% 
002  00233 |Loss: 1.918 | Acc: 27.159% 
002  00234 |Loss: 1.918 | Acc: 27.212% 
002  00235 |Loss: 1.917 | Acc: 27.224% 
002  00236 |Loss: 1.916 | Acc: 27.205% 
002  00237 |Loss: 1.915 | Acc: 27.207% 
002  00238 |Loss: 1.915 | Acc: 27.286% 
002  00239 |Loss: 1.914 | Acc: 27.353% 
002  00240 |Loss: 1.913 | Acc: 27.466% 
002  00241 |Loss: 1.912 | Acc: 27.502% 
002  00242 |Loss: 1.911 | Acc: 27.564% 
002  00243 |Loss: 1.910 | Acc: 27.607% 
002  00244 |Loss: 1.910 | Acc: 27.667% 
002  00245 |Loss: 1.909 | Acc: 27.734% 
002  00246 |Loss: 1.907 | Acc: 27.765% 
002  00247 |Loss: 1.907 | Acc: 27.873% 
002  00248 |Loss: 1.905 | Acc: 27.945% 
002  00249 |Loss: 1.905 | Acc: 27.947% 
002  00250 |Loss: 1.905 | Acc: 28.016% 
002  00251 |Loss: 1.904 | Acc: 28.108% 
002  00252 |Loss: 1.904 | Acc: 28.100% 
002  00253 |Loss: 1.903 | Acc: 28.182% 
002  00254 |Loss: 1.903 | Acc: 28.238% 
002  00255 |Loss: 1.901 | Acc: 28.324% 
002  00256 |Loss: 1.900 | Acc: 28.370% 
002  00257 |Loss: 1.898 | Acc: 28.398% 
002  00258 |Loss: 1.898 | Acc: 28.434% 
002  00259 |Loss: 1.896 | Acc: 28.439% 
002  00260 |Loss: 1.894 | Acc: 28.489% 
002  00261 |Loss: 1.893 | Acc: 28.531% 
002  00262 |Loss: 1.893 | Acc: 28.564% 
002  00263 |Loss: 1.892 | Acc: 28.560% 
002  00264 |Loss: 1.891 | Acc: 28.578% 
002  00265 |Loss: 1.892 | Acc: 28.545% 
002  00266 |Loss: 1.890 | Acc: 28.562% 
002  00267 |Loss: 1.888 | Acc: 28.565% 
002  00268 |Loss: 1.887 | Acc: 28.660% 
002  00269 |Loss: 1.886 | Acc: 28.753% 
002  00270 |Loss: 1.885 | Acc: 28.747% 
002  00271 |Loss: 1.886 | Acc: 28.687% 
002  00272 |Loss: 1.885 | Acc: 28.730% 
002  00273 |Loss: 1.884 | Acc: 28.772% 
002  00274 |Loss: 1.883 | Acc: 28.853% 
002  00275 |Loss: 1.882 | Acc: 28.933% 
002  00276 |Loss: 1.881 | Acc: 28.959% 
002  00277 |Loss: 1.881 | Acc: 28.958% 
002  00278 |Loss: 1.880 | Acc: 28.932% 
002  00279 |Loss: 1.879 | Acc: 29.002% 
002  00280 |Loss: 1.880 | Acc: 28.970% 
002  00281 |Loss: 1.879 | Acc: 28.994% 
002  00282 |Loss: 1.877 | Acc: 29.050% 
002  00283 |Loss: 1.878 | Acc: 29.036% 
002  00284 |Loss: 1.877 | Acc: 29.042% 
002  00285 |Loss: 1.876 | Acc: 29.071% 
002  00286 |Loss: 1.874 | Acc: 29.173% 
002  00287 |Loss: 1.874 | Acc: 29.183% 
002  00288 |Loss: 1.873 | Acc: 29.240% 
002  00289 |Loss: 1.871 | Acc: 29.332% 
002  00290 |Loss: 1.871 | Acc: 29.323% 
002  00291 |Loss: 1.870 | Acc: 29.378% 
002  00292 |Loss: 1.869 | Acc: 29.398% 
002  00293 |Loss: 1.869 | Acc: 29.377% 
002  00294 |Loss: 1.869 | Acc: 29.402% 
002  00295 |Loss: 1.868 | Acc: 29.399% 
002  00296 |Loss: 1.867 | Acc: 29.418% 
002  00297 |Loss: 1.867 | Acc: 29.436% 
002  00298 |Loss: 1.867 | Acc: 29.427% 
002  00299 |Loss: 1.866 | Acc: 29.500% 
002  00300 |Loss: 1.866 | Acc: 29.535% 
002  00301 |Loss: 1.866 | Acc: 29.552% 
002  00302 |Loss: 1.865 | Acc: 29.617% 
002  00303 |Loss: 1.864 | Acc: 29.634% 
002  00304 |Loss: 1.862 | Acc: 29.719% 
002  00305 |Loss: 1.862 | Acc: 29.772% 
002  00306 |Loss: 1.861 | Acc: 29.808% 
002  00307 |Loss: 1.860 | Acc: 29.896% 
002  00308 |Loss: 1.859 | Acc: 29.915% 
002  00309 |Loss: 1.859 | Acc: 29.934% 
002  00310 |Loss: 1.858 | Acc: 29.958% 
002  00311 |Loss: 1.857 | Acc: 30.022% 
002  00312 |Loss: 1.857 | Acc: 30.035% 
002  00313 |Loss: 1.856 | Acc: 30.128% 
002  00314 |Loss: 1.857 | Acc: 30.120% 
003  00315 |Loss: 1.666 | Acc: 35.156% 
003  00316 |Loss: 1.638 | Acc: 38.281% 
003  00317 |Loss: 1.668 | Acc: 38.542% 
003  00318 |Loss: 1.678 | Acc: 36.523% 
003  00319 |Loss: 1.686 | Acc: 36.406% 
003  00320 |Loss: 1.684 | Acc: 36.328% 
003  00321 |Loss: 1.695 | Acc: 37.054% 
003  00322 |Loss: 1.721 | Acc: 35.645% 
003  00323 |Loss: 1.729 | Acc: 35.417% 
003  00324 |Loss: 1.725 | Acc: 35.781% 
003  00325 |Loss: 1.730 | Acc: 35.582% 
003  00326 |Loss: 1.738 | Acc: 35.482% 
003  00327 |Loss: 1.743 | Acc: 35.337% 
003  00328 |Loss: 1.743 | Acc: 35.045% 
003  00329 |Loss: 1.736 | Acc: 35.208% 
003  00330 |Loss: 1.733 | Acc: 35.498% 
003  00331 |Loss: 1.735 | Acc: 35.708% 
003  00332 |Loss: 1.735 | Acc: 35.417% 
003  00333 |Loss: 1.735 | Acc: 35.403% 
003  00334 |Loss: 1.739 | Acc: 35.195% 
003  00335 |Loss: 1.742 | Acc: 35.119% 
003  00336 |Loss: 1.742 | Acc: 35.014% 
003  00337 |Loss: 1.741 | Acc: 35.020% 
003  00338 |Loss: 1.743 | Acc: 35.059% 
003  00339 |Loss: 1.743 | Acc: 34.938% 
