001  00119 |Loss: 0.630 | Acc: 77.567% 
001  00120 |Loss: 0.628 | Acc: 77.637% 
001  00121 |Loss: 0.627 | Acc: 77.654% 
001  00122 |Loss: 0.627 | Acc: 77.664% 
001  00123 |Loss: 0.625 | Acc: 77.744% 
001  00124 |Loss: 0.622 | Acc: 77.835% 
001  00125 |Loss: 0.620 | Acc: 77.894% 
001  00126 |Loss: 0.619 | Acc: 77.939% 
001  00127 |Loss: 0.617 | Acc: 77.996% 
001  00128 |Loss: 0.614 | Acc: 78.088% 
001  00129 |Loss: 0.612 | Acc: 78.155% 
001  00130 |Loss: 0.611 | Acc: 78.197% 
001  00131 |Loss: 0.610 | Acc: 78.268% 
001  00132 |Loss: 0.609 | Acc: 78.308% 
001  00133 |Loss: 0.607 | Acc: 78.372% 
001  00134 |Loss: 0.605 | Acc: 78.434% 
001  00135 |Loss: 0.604 | Acc: 78.484% 
001  00136 |Loss: 0.602 | Acc: 78.510% 
001  00137 |Loss: 0.600 | Acc: 78.587% 
001  00138 |Loss: 0.599 | Acc: 78.651% 
001  00139 |Loss: 0.597 | Acc: 78.687% 
001  00140 |Loss: 0.596 | Acc: 78.728% 
001  00141 |Loss: 0.594 | Acc: 78.773% 
001  00142 |Loss: 0.592 | Acc: 78.840% 
001  00143 |Loss: 0.591 | Acc: 78.890% 
001  00144 |Loss: 0.590 | Acc: 78.917% 
001  00145 |Loss: 0.588 | Acc: 78.987% 
001  00146 |Loss: 0.587 | Acc: 79.019% 
001  00147 |Loss: 0.585 | Acc: 79.087% 
001  00148 |Loss: 0.583 | Acc: 79.149% 
001  00149 |Loss: 0.582 | Acc: 79.132% 
001  00150 |Loss: 0.581 | Acc: 79.198% 
001  00151 |Loss: 0.579 | Acc: 79.253% 
001  00152 |Loss: 0.578 | Acc: 79.302% 
001  00153 |Loss: 0.576 | Acc: 79.371% 
001  00154 |Loss: 0.575 | Acc: 79.419% 
001  00155 |Loss: 0.572 | Acc: 79.506% 
001  00156 |Loss: 0.570 | Acc: 79.557% 
001  00157 |Loss: 0.569 | Acc: 79.573% 
001  00158 |Loss: 0.568 | Acc: 79.633% 
001  00159 |Loss: 0.566 | Acc: 79.683% 
001  00160 |Loss: 0.565 | Acc: 79.731% 
001  00161 |Loss: 0.563 | Acc: 79.765% 
001  00162 |Loss: 0.562 | Acc: 79.803% 
001  00163 |Loss: 0.562 | Acc: 79.831% 
001  00164 |Loss: 0.559 | Acc: 79.902% 
001  00165 |Loss: 0.558 | Acc: 79.962% 
001  00166 |Loss: 0.557 | Acc: 80.003% 
001  00167 |Loss: 0.555 | Acc: 80.057% 
001  00168 |Loss: 0.554 | Acc: 80.106% 
001  00169 |Loss: 0.553 | Acc: 80.150% 
001  00170 |Loss: 0.552 | Acc: 80.198% 
001  00171 |Loss: 0.551 | Acc: 80.263% 
001  00172 |Loss: 0.549 | Acc: 80.305% 
001  00173 |Loss: 0.547 | Acc: 80.374% 
001  00174 |Loss: 0.545 | Acc: 80.428% 
001  00175 |Loss: 0.545 | Acc: 80.482% 
001  00176 |Loss: 0.544 | Acc: 80.513% 
001  00177 |Loss: 0.543 | Acc: 80.566% 
001  00178 |Loss: 0.541 | Acc: 80.600% 
001  00179 |Loss: 0.540 | Acc: 80.622% 
001  00180 |Loss: 0.539 | Acc: 80.673% 
001  00181 |Loss: 0.539 | Acc: 80.689% 
001  00182 |Loss: 0.538 | Acc: 80.726% 
001  00183 |Loss: 0.536 | Acc: 80.772% 
001  00184 |Loss: 0.535 | Acc: 80.791% 
001  00185 |Loss: 0.535 | Acc: 80.811% 
001  00186 |Loss: 0.534 | Acc: 80.817% 
001  00187 |Loss: 0.533 | Acc: 80.866% 
001  00188 |Loss: 0.532 | Acc: 80.901% 
001  00189 |Loss: 0.531 | Acc: 80.919% 
001  00190 |Loss: 0.530 | Acc: 80.942% 
001  00191 |Loss: 0.530 | Acc: 80.955% 
001  00192 |Loss: 0.528 | Acc: 81.006% 
001  00193 |Loss: 0.527 | Acc: 81.011% 
001  00194 |Loss: 0.526 | Acc: 81.049% 
001  00195 |Loss: 0.525 | Acc: 81.106% 
001  00196 |Loss: 0.524 | Acc: 81.150% 
001  00197 |Loss: 0.524 | Acc: 81.151% 
001  00198 |Loss: 0.523 | Acc: 81.163% 
001  00199 |Loss: 0.522 | Acc: 81.191% 
001  00200 |Loss: 0.521 | Acc: 81.234% 
001  00201 |Loss: 0.520 | Acc: 81.266% 
001  00202 |Loss: 0.520 | Acc: 81.281% 
001  00203 |Loss: 0.518 | Acc: 81.323% 
001  00204 |Loss: 0.517 | Acc: 81.357% 
001  00205 |Loss: 0.516 | Acc: 81.402% 
001  00206 |Loss: 0.516 | Acc: 81.424% 
001  00207 |Loss: 0.515 | Acc: 81.469% 
001  00208 |Loss: 0.514 | Acc: 81.513% 
001  00209 |Loss: 0.513 | Acc: 81.534% 
001  00210 |Loss: 0.511 | Acc: 81.581% 
001  00211 |Loss: 0.510 | Acc: 81.620% 
001  00212 |Loss: 0.509 | Acc: 81.659% 
001  00213 |Loss: 0.509 | Acc: 81.661% 
001  00214 |Loss: 0.507 | Acc: 81.699% 
001  00215 |Loss: 0.507 | Acc: 81.719% 
001  00216 |Loss: 0.506 | Acc: 81.749% 
001  00217 |Loss: 0.505 | Acc: 81.783% 
001  00218 |Loss: 0.505 | Acc: 81.802% 
001  00219 |Loss: 0.504 | Acc: 81.831% 
001  00220 |Loss: 0.503 | Acc: 81.868% 
001  00221 |Loss: 0.502 | Acc: 81.904% 
001  00222 |Loss: 0.501 | Acc: 81.926% 
001  00223 |Loss: 0.500 | Acc: 81.961% 
001  00224 |Loss: 0.499 | Acc: 81.965% 
001  00225 |Loss: 0.498 | Acc: 82.007% 
001  00226 |Loss: 0.497 | Acc: 82.049% 
001  00227 |Loss: 0.496 | Acc: 82.083% 
001  00228 |Loss: 0.496 | Acc: 82.096% 
001  00229 |Loss: 0.495 | Acc: 82.110% 
001  00230 |Loss: 0.494 | Acc: 82.147% 
001  00231 |Loss: 0.493 | Acc: 82.183% 
001  00232 |Loss: 0.493 | Acc: 82.193% 
001  00233 |Loss: 0.493 | Acc: 82.209% 
001  00234 |Loss: 0.492 | Acc: 82.212% 
001  00235 |Loss: 0.492 | Acc: 82.231% 
001  00236 |Loss: 0.491 | Acc: 82.266% 
001  00237 |Loss: 0.490 | Acc: 82.292% 
001  00238 |Loss: 0.490 | Acc: 82.314% 
001  00239 |Loss: 0.489 | Acc: 82.332% 
001  00240 |Loss: 0.488 | Acc: 82.363% 
001  00241 |Loss: 0.487 | Acc: 82.404% 
001  00242 |Loss: 0.487 | Acc: 82.422% 
001  00243 |Loss: 0.487 | Acc: 82.459% 
001  00244 |Loss: 0.486 | Acc: 82.476% 
001  00245 |Loss: 0.486 | Acc: 82.497% 
001  00246 |Loss: 0.485 | Acc: 82.501% 
